paper_id,MethodTag,MethodFamily,Methodology,PolicySalience,PoliticalSensitivity,SecrecyConstraint,DataAccess,coder_notes
401,20,902,2,2,0,0,3,PolicySalience=2[对策]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=3[实验]; MT=20; MY=2; MF9=902
460,20,904,3,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[反间谍]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
461,30,903,5,3,0,0,1,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=1[思辨]; MT=30; MY=5; MF9=903
462,30,903,5,2,3,0,3,PolicySalience=2[路径]; PoliticalSensitivity=3[情报]; SecrecyConstraint=0; DataAccess=3[数据库]; MT=30; MY=5; MF9=903
463,30,903,5,2,3,0,3,PolicySalience=2[完善]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=3[数据库]; MT=30; MY=5; MF9=903
464,10,909,1,3,3,0,1,PolicySalience=3[规范]; PoliticalSensitivity=3[反间谍]; SecrecyConstraint=0; DataAccess=1[思辨]; MT=10; MY=1; MF9=909
465,10,909,1,3,3,3,1,PolicySalience=3[规范]; PoliticalSensitivity=3[情报]; SecrecyConstraint=3[军事]; DataAccess=1[思辨]; MT=10; MY=1; MF9=909
466,10,909,1,3,3,3,1,PolicySalience=3[规范]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=1[规范研究]; MT=10; MY=1; MF9=909
467,20,904,3,2,3,0,0,PolicySalience=2[对策]; PoliticalSensitivity=3[军民融合]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
468,20,904,3,3,3,3,0,PolicySalience=3[规范]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=904
469,20,906,3,3,3,0,0,PolicySalience=3[标准]; PoliticalSensitivity=3[意识形态]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=906
470,20,904,3,3,3,0,1,PolicySalience=3[规范]; PoliticalSensitivity=3[恐怖主义]; SecrecyConstraint=0; DataAccess=1[哲学]; MT=20; MY=3; MF9=904
471,20,901,2,3,0,1,2,PolicySalience=3[标准]; PoliticalSensitivity=0; SecrecyConstraint=1[官网]; DataAccess=2[样本]; MT=20; MY=2; MF9=901
472,20,904,3,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[恐怖主义]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
473,20,904,3,2,3,0,1,PolicySalience=2[框架]; PoliticalSensitivity=3[情报]; SecrecyConstraint=0; DataAccess=1[哲学]; MT=20; MY=3; MF9=904
474,20,904,3,3,0,0,1,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=1[理论分析]; MT=20; MY=3; MF9=904
475,20,904,3,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[意识形态]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
476,20,904,3,2,3,0,2,PolicySalience=2[模式]; PoliticalSensitivity=3[情报]; SecrecyConstraint=0; DataAccess=2[案例研究]; MT=20; MY=3; MF9=904
477,10,909,1,2,3,0,1,PolicySalience=2[框架]; PoliticalSensitivity=3[情报]; SecrecyConstraint=0; DataAccess=1[思辨]; MT=10; MY=1; MF9=909
478,20,904,3,2,3,0,0,PolicySalience=2[路径]; PoliticalSensitivity=3[情报]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
479,20,904,3,3,3,0,1,PolicySalience=3[规范]; PoliticalSensitivity=3[意识形态]; SecrecyConstraint=0; DataAccess=1[思辨]; MT=20; MY=3; MF9=904
480,40,901,3,3,2,0,1,PolicySalience=3[规范]; PoliticalSensitivity=2[跨部门]; SecrecyConstraint=0; DataAccess=1[理论探讨]; MT=40; MY=3; MF9=901
481,20,907,2,3,3,0,0,PolicySalience=3[指标体系]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=2; MF9=907
482,30,903,5,3,3,3,1,PolicySalience=3[规范]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=1[文献综述]; MT=30; MY=5; MF9=903
483,40,901,3,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[意识形态]; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
484,20,904,3,2,3,3,0,PolicySalience=2[路径]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=904
485,40,901,3,3,3,3,1,PolicySalience=3[规范]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=1[文献综述]; MT=40; MY=3; MF9=901
486,20,906,4,3,3,0,3,PolicySalience=3[标准]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=3[数据库]; MT=20; MY=4; MF9=906
487,20,904,3,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
488,20,904,4,3,3,0,3,PolicySalience=3[规范]; PoliticalSensitivity=3[恐怖主义]; SecrecyConstraint=0; DataAccess=3[数据库]; MT=20; MY=4; MF9=904
489,20,904,3,3,3,3,0,PolicySalience=3[办法]; PoliticalSensitivity=3[情报]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=904
490,20,906,3,3,3,0,0,PolicySalience=3[标准]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=906
491,30,903,5,3,3,0,1,PolicySalience=3[规范]; PoliticalSensitivity=3[情报]; SecrecyConstraint=0; DataAccess=1[规范研究]; MT=30; MY=5; MF9=903
492,20,906,3,2,3,1,1,PolicySalience=2[框架]; PoliticalSensitivity=3[意识形态]; SecrecyConstraint=1[白皮书]; DataAccess=1[话语分析]; MT=20; MY=3; MF9=906
493,20,906,3,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=906
494,20,906,3,3,0,0,1,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=1[文献综述]; MT=20; MY=3; MF9=906
495,20,904,3,3,3,3,1,PolicySalience=3[规范]; PoliticalSensitivity=3[情报]; SecrecyConstraint=3[军事]; DataAccess=1[概念辨析]; MT=20; MY=3; MF9=904
496,30,903,5,3,3,0,0,PolicySalience=3[指标体系]; PoliticalSensitivity=3[情报]; SecrecyConstraint=0; DataAccess=0; MT=30; MY=5; MF9=903
497,20,904,4,3,3,0,2,PolicySalience=3[流程]; PoliticalSensitivity=3[情报]; SecrecyConstraint=0; DataAccess=2[样本]; MT=20; MY=4; MF9=904
498,10,909,1,3,0,0,1,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=1[理论分析]; MT=10; MY=1; MF9=909
499,20,906,4,3,3,0,3,PolicySalience=3[制度设计]; PoliticalSensitivity=3[恐怖主义]; SecrecyConstraint=0; DataAccess=3[数据库]; MT=20; MY=4; MF9=906
500,20,902,4,3,3,0,3,PolicySalience=3[制度设计]; PoliticalSensitivity=3[恐怖主义]; SecrecyConstraint=0; DataAccess=3[实验]; MT=20; MY=4; MF9=902
501,20,904,4,2,3,0,1,PolicySalience=2[框架]; PoliticalSensitivity=3[情报]; SecrecyConstraint=0; DataAccess=1[文献综述]; MT=20; MY=4; MF9=904
502,20,906,3,3,0,0,1,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=1[概念辨析]; MT=20; MY=3; MF9=906
503,20,906,3,3,0,0,1,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=1[概念辨析]; MT=20; MY=3; MF9=906
504,20,904,3,3,0,0,1,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=1[文献综述]; MT=20; MY=3; MF9=904
505,30,903,5,2,3,0,3,PolicySalience=2[路径]; PoliticalSensitivity=3[情报]; SecrecyConstraint=0; DataAccess=3[数据库]; MT=30; MY=5; MF9=903
506,20,904,3,3,3,0,2,PolicySalience=3[规范]; PoliticalSensitivity=3[反恐怖]; SecrecyConstraint=0; DataAccess=2[案例研究]; MT=20; MY=3; MF9=904
507,20,904,3,3,3,3,0,PolicySalience=3[规范]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=904
508,30,902,5,3,3,3,2,PolicySalience=3[制度设计]; PoliticalSensitivity=3[情报]; SecrecyConstraint=3[军事]; DataAccess=2[编码\b]; MT=30; MY=5; MF9=902
509,20,904,3,3,0,0,1,PolicySalience=3[立法]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=1[规范研究]; MT=20; MY=3; MF9=904
510,20,904,3,3,0,0,1,PolicySalience=3[立法]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=1[概念辨析]; MT=20; MY=3; MF9=904
511,20,904,4,3,3,3,3,PolicySalience=3[规范]; PoliticalSensitivity=3[反间谍]; SecrecyConstraint=3[军事]; DataAccess=3[数据库]; MT=20; MY=4; MF9=904
512,20,904,3,3,0,0,1,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=1[规范研究]; MT=20; MY=3; MF9=904
513,20,904,4,3,0,0,1,PolicySalience=3[流程]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=1[文献综述]; MT=20; MY=4; MF9=904
514,20,904,3,2,0,0,1,PolicySalience=2[框架]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=1[概念辨析]; MT=20; MY=3; MF9=904
515,40,901,3,2,0,0,0,PolicySalience=2[对策]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
516,40,901,3,3,0,0,1,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=1[文献综述]; MT=40; MY=3; MF9=901
517,40,901,3,2,0,0,0,PolicySalience=2[框架]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
518,10,909,1,2,2,0,0,PolicySalience=2[路径]; PoliticalSensitivity=2[网络安全]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
519,10,909,1,2,0,0,0,PolicySalience=2[路径]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
520,20,904,3,3,0,0,0,PolicySalience=3[立法]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
521,20,904,3,2,3,3,0,PolicySalience=2[对策]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=904
522,40,901,3,3,3,0,1,PolicySalience=3[制度设计]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=1[概念辨析]; MT=40; MY=3; MF9=901
523,20,904,3,2,3,3,1,PolicySalience=2[对策]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=1[文献综述]; MT=20; MY=3; MF9=904
524,20,904,4,3,3,3,3,PolicySalience=3[规范]; PoliticalSensitivity=3[间谍]; SecrecyConstraint=3[军事]; DataAccess=3[数据库]; MT=20; MY=4; MF9=904
525,40,901,3,2,0,0,0,PolicySalience=2[对策]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
526,30,903,5,3,3,0,0,PolicySalience=3[考核]; PoliticalSensitivity=3[情报]; SecrecyConstraint=0; DataAccess=0; MT=30; MY=5; MF9=903
527,40,901,3,2,0,0,0,PolicySalience=2[框架]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
528,40,901,3,3,3,0,0,PolicySalience=3[流程]; PoliticalSensitivity=3[情报]; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
529,20,904,4,2,0,0,0,PolicySalience=2[对策]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=4; MF9=904
530,10,909,1,2,0,0,1,PolicySalience=2[对策]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=1[文献综述]; MT=10; MY=1; MF9=909
531,20,904,3,2,0,0,1,PolicySalience=2[路径]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=1[文献综述]; MT=20; MY=3; MF9=904
532,20,904,3,2,0,0,0,PolicySalience=2[路径]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
533,30,903,5,2,3,0,0,PolicySalience=2[对策]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=30; MY=5; MF9=903
534,10,909,1,2,3,0,0,PolicySalience=2[框架]; PoliticalSensitivity=3[情报]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
535,10,909,1,3,2,0,0,PolicySalience=3[流程]; PoliticalSensitivity=2[网络安全]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
536,20,904,3,3,0,0,1,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=1[哲学]; MT=20; MY=3; MF9=904
537,20,906,3,3,3,0,0,PolicySalience=3[条款]; PoliticalSensitivity=3[反间谍]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=906
538,20,904,3,2,3,0,0,PolicySalience=2[对策]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
539,10,908,1,2,0,0,0,PolicySalience=2[对策]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=908
540,20,906,3,3,0,0,1,PolicySalience=3[条款]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=1[文献综述]; MT=20; MY=3; MF9=906
541,20,904,3,2,0,0,0,PolicySalience=2[对策]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
542,20,904,3,2,0,0,1,PolicySalience=2[对策]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=1[哲学]; MT=20; MY=3; MF9=904
543,30,903,5,3,3,0,0,PolicySalience=3[立法]; PoliticalSensitivity=3[军队]; SecrecyConstraint=0; DataAccess=0; MT=30; MY=5; MF9=903
544,20,904,3,2,0,0,0,PolicySalience=2[框架]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
545,20,906,3,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=906
546,20,904,3,2,0,0,0,PolicySalience=2[对策]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
547,20,904,3,2,0,0,0,PolicySalience=2[框架]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
548,20,904,3,2,3,0,0,PolicySalience=2[框架]; PoliticalSensitivity=3[情报]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
549,20,904,3,0,0,0,0,PolicySalience=0; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
550,30,903,5,2,3,0,2,PolicySalience=2[框架]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=2[样本]; MT=30; MY=5; MF9=903
551,40,901,3,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
552,40,901,3,2,0,0,1,PolicySalience=2[框架]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=1[文献综述]; MT=40; MY=3; MF9=901
553,30,903,5,3,3,3,2,PolicySalience=3[规范]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=2[样本]; MT=30; MY=5; MF9=903
554,30,903,5,3,3,0,2,PolicySalience=3[规范]; PoliticalSensitivity=3[情报]; SecrecyConstraint=0; DataAccess=2[样本]; MT=30; MY=5; MF9=903
555,30,903,5,3,3,0,0,PolicySalience=3[立法]; PoliticalSensitivity=3[网络主权]; SecrecyConstraint=0; DataAccess=0; MT=30; MY=5; MF9=903
556,20,904,3,3,3,3,0,PolicySalience=3[规范]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=904
557,20,904,4,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=4; MF9=904
558,30,903,5,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[反分裂]; SecrecyConstraint=0; DataAccess=0; MT=30; MY=5; MF9=903
559,20,904,3,2,3,0,3,PolicySalience=2[框架]; PoliticalSensitivity=3[社会稳定]; SecrecyConstraint=0; DataAccess=3[数据库]; MT=20; MY=3; MF9=904
560,20,906,4,3,3,0,1,PolicySalience=3[流程]; PoliticalSensitivity=3[情报]; SecrecyConstraint=0; DataAccess=1[文献综述]; MT=20; MY=4; MF9=906
561,30,903,5,3,3,0,1,PolicySalience=3[执法]; PoliticalSensitivity=3[反间谍]; SecrecyConstraint=0; DataAccess=1[文献综述]; MT=30; MY=5; MF9=903
