paper_id,MethodTag,MethodFamily,Methodology,PolicySalience,PoliticalSensitivity,SecrecyConstraint,DataAccess,coder_notes
1,40,901,3,2,3,0,2,PolicySalience=2[对策]; PoliticalSensitivity=3[国防]; SecrecyConstraint=0; DataAccess=2[编码\b]; MT=40; MY=3; MF9=901
42,10,909,1,2,0,0,0,PolicySalience=2[框架]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
43,20,904,3,2,3,3,1,PolicySalience=2[框架]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=1[理论分析]; MT=20; MY=3; MF9=904
44,20,904,3,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[网络主权]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
45,10,909,1,1,3,3,0,PolicySalience=1[政策]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=10; MY=1; MF9=909
46,30,903,5,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=30; MY=5; MF9=903
47,10,908,1,3,3,3,0,PolicySalience=3[责任制]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=10; MY=1; MF9=908
48,20,904,3,3,3,3,2,PolicySalience=3[规范]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=2[案例研究]; MT=20; MY=3; MF9=904
49,20,902,4,3,3,0,3,PolicySalience=3[指标体系]; PoliticalSensitivity=3[颜色革命]; SecrecyConstraint=0; DataAccess=3[实验]; MT=20; MY=4; MF9=902
50,30,903,5,3,0,0,1,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=1[理论分析]; MT=30; MY=5; MF9=903
51,20,904,3,3,3,0,3,PolicySalience=3[立法]; PoliticalSensitivity=3[反间谍]; SecrecyConstraint=0; DataAccess=3[数据库]; MT=20; MY=3; MF9=904
52,20,904,3,1,3,0,0,PolicySalience=1[总体国家安全观]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
53,20,904,4,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=4; MF9=904
54,30,903,5,3,3,1,0,PolicySalience=3[规范]; PoliticalSensitivity=3[国防]; SecrecyConstraint=1[新闻]; DataAccess=0; MT=30; MY=5; MF9=903
55,20,904,3,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
56,20,904,3,3,0,0,2,PolicySalience=3[条款]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=2[案例研究]; MT=20; MY=3; MF9=904
57,10,909,1,2,3,0,0,PolicySalience=2[路径]; PoliticalSensitivity=3[制裁]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
58,10,909,1,3,3,3,0,PolicySalience=3[规范]; PoliticalSensitivity=3[国防]; SecrecyConstraint=3[作战]; DataAccess=0; MT=10; MY=1; MF9=909
59,20,904,3,3,3,3,0,PolicySalience=3[规范]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=904
60,20,904,3,3,3,3,0,PolicySalience=3[规范]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=904
61,20,904,3,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
62,20,904,3,3,3,0,1,PolicySalience=3[规范]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=1[思辨]; MT=20; MY=3; MF9=904
63,10,909,1,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
64,20,906,4,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=4; MF9=906
65,20,904,3,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
66,20,906,3,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=906
67,20,906,3,3,2,0,0,PolicySalience=3[规范]; PoliticalSensitivity=2[公共安全]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=906
68,10,909,1,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
69,10,909,1,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
70,40,908,3,3,3,3,3,PolicySalience=3[规范]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=3[数据库]; MT=40; MY=3; MF9=908
71,20,906,3,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[制裁]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=906
72,20,906,3,3,2,0,0,PolicySalience=3[规范]; PoliticalSensitivity=2[网络安全]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=906
73,20,905,3,3,2,1,0,PolicySalience=3[规范]; PoliticalSensitivity=2[网络安全]; SecrecyConstraint=1[白皮书]; DataAccess=0; MT=20; MY=3; MF9=905
74,20,904,3,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[情报]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
75,20,904,4,2,3,0,0,PolicySalience=2[框架]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=4; MF9=904
76,30,903,5,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=30; MY=5; MF9=903
77,40,901,3,2,3,3,0,PolicySalience=2[框架]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=40; MY=3; MF9=901
78,20,904,3,2,3,3,0,PolicySalience=2[框架]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=904
79,20,904,3,3,0,0,1,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=1[哲学]; MT=20; MY=3; MF9=904
80,20,904,3,3,3,0,1,PolicySalience=3[规范]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=1[文献综述]; MT=20; MY=3; MF9=904
81,20,904,3,3,3,3,3,PolicySalience=3[规范]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=3[数据库]; MT=20; MY=3; MF9=904
82,20,904,3,3,3,3,3,PolicySalience=3[立法]; PoliticalSensitivity=3[情报]; SecrecyConstraint=3[军事]; DataAccess=3[数据库]; MT=20; MY=3; MF9=904
83,20,901,2,3,3,0,0,PolicySalience=3[办法]; PoliticalSensitivity=3[意识形态]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=2; MF9=901
84,30,903,5,3,2,0,0,PolicySalience=3[规范]; PoliticalSensitivity=2[公共安全]; SecrecyConstraint=0; DataAccess=0; MT=30; MY=5; MF9=903
85,10,909,1,3,3,3,0,PolicySalience=3[规范]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=10; MY=1; MF9=909
86,20,904,3,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[恐怖主义]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
87,20,904,3,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
88,30,902,5,2,3,0,0,PolicySalience=2[框架]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=30; MY=5; MF9=902
89,30,903,5,3,3,0,1,PolicySalience=3[条例]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=1[文献综述]; MT=30; MY=5; MF9=903
90,40,901,3,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
91,10,908,1,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=908
92,40,901,3,2,0,0,0,PolicySalience=2[框架]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
93,20,904,3,3,0,0,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
94,20,904,4,3,0,0,2,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=2[样本]; MT=20; MY=4; MF9=904
95,20,904,3,3,3,0,1,PolicySalience=3[立法]; PoliticalSensitivity=3[反间谍]; SecrecyConstraint=0; DataAccess=1[哲学]; MT=20; MY=3; MF9=904
96,20,904,3,3,3,0,1,PolicySalience=3[程序]; PoliticalSensitivity=3[反间谍]; SecrecyConstraint=0; DataAccess=1[规范研究]; MT=20; MY=3; MF9=904
97,10,907,1,3,0,1,0,PolicySalience=3[指标体系]; PoliticalSensitivity=0; SecrecyConstraint=1[新闻]; DataAccess=0; MT=10; MY=1; MF9=907
98,20,904,3,2,3,3,0,PolicySalience=2[路径]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=904
99,20,904,3,3,3,3,0,PolicySalience=3[规范]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=904
100,10,905,1,3,0,1,0,PolicySalience=3[规范]; PoliticalSensitivity=0; SecrecyConstraint=1[白皮书]; DataAccess=0; MT=10; MY=1; MF9=905
101,20,904,3,2,0,1,1,PolicySalience=2[模式]; PoliticalSensitivity=0; SecrecyConstraint=1[白皮书]; DataAccess=1[哲学]; MT=20; MY=3; MF9=904
102,20,904,3,3,3,1,0,PolicySalience=3[规范]; PoliticalSensitivity=3[核]; SecrecyConstraint=1[白皮书]; DataAccess=0; MT=20; MY=3; MF9=904
103,10,909,1,1,3,3,0,PolicySalience=1[总体国家安全观]; PoliticalSensitivity=3[反间谍]; SecrecyConstraint=3[军事]; DataAccess=0; MT=10; MY=1; MF9=909
104,20,904,3,2,3,1,0,PolicySalience=2[优化]; PoliticalSensitivity=3[对抗]; SecrecyConstraint=1[白皮书]; DataAccess=0; MT=20; MY=3; MF9=904
105,40,901,3,3,3,1,0,PolicySalience=3[规定]; PoliticalSensitivity=3[核]; SecrecyConstraint=1[白皮书]; DataAccess=0; MT=40; MY=3; MF9=901
106,40,907,3,3,0,0,0,PolicySalience=3[办法]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=907
107,40,901,3,3,3,3,0,PolicySalience=3[程序]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=40; MY=3; MF9=901
108,10,909,1,1,3,3,0,PolicySalience=1[政策]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=10; MY=1; MF9=909
109,10,909,1,2,3,3,0,PolicySalience=2[框架]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=10; MY=1; MF9=909
110,20,901,2,3,3,3,0,PolicySalience=3[办法]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=2; MF9=901
111,20,902,2,1,0,0,0,PolicySalience=1[政策]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=2; MF9=902
112,40,901,3,2,3,3,0,PolicySalience=2[框架]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=40; MY=3; MF9=901
113,10,907,1,3,0,0,0,PolicySalience=3[指标体系]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=907
114,10,909,1,0,0,0,0,PolicySalience=0; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
115,20,901,2,3,3,3,0,PolicySalience=3[标准]; PoliticalSensitivity=3[情报]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=2; MF9=901
116,10,909,1,1,3,3,0,PolicySalience=1[战略]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=10; MY=1; MF9=909
117,10,909,1,0,0,0,1,PolicySalience=0; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=1[哲学]; MT=10; MY=1; MF9=909
118,10,909,1,1,0,3,0,PolicySalience=1[原则]; PoliticalSensitivity=0; SecrecyConstraint=3[作战]; DataAccess=0; MT=10; MY=1; MF9=909
119,20,904,3,1,3,3,0,PolicySalience=1[政策]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=904
120,20,904,3,0,3,3,0,PolicySalience=0; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=904
121,40,901,3,3,0,0,0,PolicySalience=3[立法]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
122,10,909,1,1,3,3,0,PolicySalience=1[政策]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=10; MY=1; MF9=909
123,40,901,3,1,3,3,0,PolicySalience=1[战略]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=40; MY=3; MF9=901
124,20,904,4,2,3,3,0,PolicySalience=2[完善]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=4; MF9=904
125,10,909,1,2,0,0,0,PolicySalience=2[模式]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
126,40,901,3,2,3,0,0,PolicySalience=2[路径]; PoliticalSensitivity=3[香港]; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
127,40,901,3,0,0,0,0,PolicySalience=0; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
128,40,907,3,3,3,3,0,PolicySalience=3[条款]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=40; MY=3; MF9=907
129,40,901,3,3,3,0,0,PolicySalience=3[条例]; PoliticalSensitivity=3[新疆]; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
130,40,901,3,3,3,0,0,PolicySalience=3[立法]; PoliticalSensitivity=3[情报]; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
131,20,901,2,3,3,3,0,PolicySalience=3[执法]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=2; MF9=901
132,10,909,1,2,3,0,0,PolicySalience=2[模式]; PoliticalSensitivity=3[恐怖主义]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
133,40,901,3,3,3,0,0,PolicySalience=3[标准]; PoliticalSensitivity=3[恐怖主义]; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
134,10,909,1,2,3,0,0,PolicySalience=2[完善]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
135,10,909,1,1,3,3,0,PolicySalience=1[战略]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=10; MY=1; MF9=909
136,10,909,1,1,3,0,0,PolicySalience=1[理念]; PoliticalSensitivity=3[意识形态]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
137,10,909,1,1,3,0,0,PolicySalience=1[政策]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
138,10,909,1,1,3,0,0,PolicySalience=1[政策]; PoliticalSensitivity=3[意识形态]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
139,20,901,2,2,3,0,0,PolicySalience=2[对策]; PoliticalSensitivity=3[意识形态]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=2; MF9=901
140,10,909,1,2,3,0,0,PolicySalience=2[完善]; PoliticalSensitivity=3[颜色革命]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
141,10,909,1,1,3,3,0,PolicySalience=1[战略]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=10; MY=1; MF9=909
142,40,901,3,3,3,0,0,PolicySalience=3[条例]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
143,20,904,3,3,3,0,0,PolicySalience=3[考核]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=3; MF9=904
144,10,909,1,3,3,0,0,PolicySalience=3[立法]; PoliticalSensitivity=3[意识形态]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
145,10,909,1,2,3,1,0,PolicySalience=2[优化]; PoliticalSensitivity=3[意识形态]; SecrecyConstraint=1[新闻]; DataAccess=0; MT=10; MY=1; MF9=909
146,10,909,1,3,3,0,0,PolicySalience=3[规范]; PoliticalSensitivity=3[恐怖主义]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
147,40,901,3,3,3,0,0,PolicySalience=3[规定]; PoliticalSensitivity=3[恐怖主义]; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
148,10,909,1,2,3,3,0,PolicySalience=2[框架]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=10; MY=1; MF9=909
149,20,901,2,1,3,0,0,PolicySalience=1[政策]; PoliticalSensitivity=3[新疆]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=2; MF9=901
150,10,909,1,2,0,0,0,PolicySalience=2[对策]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
151,20,901,2,2,0,0,0,PolicySalience=2[对策]; PoliticalSensitivity=0; SecrecyConstraint=0; DataAccess=0; MT=20; MY=2; MF9=901
152,20,904,3,2,3,3,0,PolicySalience=2[模式]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=904
153,20,904,3,2,3,3,0,PolicySalience=2[路径]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=20; MY=3; MF9=904
154,10,909,1,2,3,0,1,PolicySalience=2[对策]; PoliticalSensitivity=3[国防]; SecrecyConstraint=0; DataAccess=1[法理]; MT=10; MY=1; MF9=909
155,40,901,3,1,3,3,0,PolicySalience=1[战略]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=40; MY=3; MF9=901
156,40,901,3,2,3,0,0,PolicySalience=2[对策]; PoliticalSensitivity=3[情报]; SecrecyConstraint=0; DataAccess=0; MT=40; MY=3; MF9=901
157,20,902,2,2,3,0,0,PolicySalience=2[对策]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=20; MY=2; MF9=902
158,10,908,1,1,3,3,1,PolicySalience=1[战略]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=1[哲学]; MT=10; MY=1; MF9=908
159,40,901,3,2,3,3,0,PolicySalience=2[模式]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=0; MT=40; MY=3; MF9=901
160,20,904,3,2,3,3,1,PolicySalience=2[框架]; PoliticalSensitivity=3[军事]; SecrecyConstraint=3[军事]; DataAccess=1[哲学]; MT=20; MY=3; MF9=904
161,10,909,1,3,3,0,1,PolicySalience=3[规定]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=1[法理]; MT=10; MY=1; MF9=909
162,10,909,1,3,3,0,0,PolicySalience=3[规定]; PoliticalSensitivity=3[新疆]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
163,10,909,1,2,3,0,0,PolicySalience=2[完善]; PoliticalSensitivity=3[台湾]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
164,10,909,1,2,3,0,0,PolicySalience=2[对策]; PoliticalSensitivity=3[核]; SecrecyConstraint=0; DataAccess=0; MT=10; MY=1; MF9=909
