paper_id,title,year,topic,method_text_explicit,method_text_implicit,MethodTransparency
144,1999年以来我国文化安全研究述评,2007,国家安全学一级学科论文,本文试对相关学术成果作简要总结，从软力量的由来与发展、软力量的汉语翻译、软力量的内涵以及软力量理论的贡献与不足四个方面进行学术成果梳理。本文从文化安全问题的产生、文化安全的基础理论、我国文化安全的现状、文化安全的对策研究等几个方面对1999年以来我国文化安全研究进行述评，以期为推动这一问题的研究作一些努力。研究方法是基于现有文化安全研究文献的梳理归纳。文献涉及的主题，笔者依据不同文化安全主体构成不同的理论系统，将其归纳为以国家、社会等为主体的宏观文化安全和以文化产业、学校教育、文化生态、跨文化交流、学术研究等为主体的微观文化安全。,从现有研究成果来看，从1999年8月至2006年12月冠以“文化安全”标题进行研究的文章和专著共290篇(本)；文献数量基本呈递增趋势（仅2003年下降），而2006年的文献数量是1999年的41.5倍。研究主题主要集中于文化安全现状与对策（40.7%）、全球化/WTO/信息化与文化安全（25.2%）、文化产业与文化安全（12.4%）三大主题。对文化安全概念的界定尚未达成共识，有主权说（侧重文化立法权、文化管理权、意识形态选择权）和价值说（侧重主流文化价值体系免于侵蚀、保持民族性）等代表性观点。国内学者对策研究提出了文化安全思想体系、文化安全战略体系、文化安全管理体系和文化安全策略体系等体系化战略。有学者指出，我国文化安全面临的最大威胁并不是外国文化产品的进入，而是我们自身对外国文化的“臣服”和“克隆”。,Medium
145,国家文化安全与编辑使命,2007,国家安全学领域论文,编辑工作者应该自觉地承担起自己的职业使命，在我国文化生产与文化传播的环节中，主动发挥好净化优化作用、引导促进作用、弘扬创新作用，为维护祖国的文化安全作出应有的贡献。净化优化作用要求编辑作为信息的接收者，对所传播信息的“滤波”，对无序的原生信息进行整序清流的创造性劳动。引导促进作用要求编辑这一社会角色，代表国家、阶级的利益对精神产品进行鉴审、择优，将社会的意志和需求渗透其中，潜移默化地影响人们的社会心理和价值取向。弘扬创新作用要求编辑工作者充分发挥文化再创造功能，努力弘扬中华文化，积极创新发展民族文化，使之更好地走向世界。在审稿中，要精心“挑选”，严格“把关”，从意识形态到语言文字，从内容到形式，有鉴别、有吸取、有拒绝地对待各类文化，尤其是外来文化。,据新闻出版总署统计，2001年中国图书、报纸、期刊出口额为1764万美元，而进口额为6904万美元，进口是出口的4倍。音像制品、电子出版物的进口额为出口额的14倍。引进的图书主要来自欧美发达国家，其中以美国和英国最突出。图书市场上的超级畅销书几乎都是引进版图书，如2001年《谁动了我的奶酪》、2002年《穷爸爸·富爸爸》、2003年《哈里·波特》等。少儿读物市场引进版的强大冲击和本土原创的乏力对比极为鲜明。低俗文化泛滥，不少出版社推出各种号称反映新新人类生活的文学作品，“美女作家”、“肢体写作”、“下半身写作”等字眼让人眼花缭乱。毕淑敏的小说《癌症小姐》被迫改称《拯救乳房》；古典名著《水浒传》被改称《三个女人和一百零五个男人》。有文艺批评家对当前文艺创作中表现出来的“思维品格的低下”和“伦理的麻木”这样一种“社会的同一道德倾斜”的现象给予了严肃批评。,Medium
146,当代大学生国家安全教育刍议,2007,国家安全学一级学科论文,我们要教育大学生树立新的国家安全观，进行民族忧患意识教育，构建高校国家安全教育的独立体系。加强大学生国家安全教育的对策包括：马克思主义主流意识形态要主动占领高校师生的思想阵地；教育大学生树立合作安全观；教育大学生树立综合安全观；进行民族忧患意识教育；构建高校国家安全教育的独立体系。在教育内容上，包括方向性教育（爱国主义、民族精神）、认知性教育（国情、国防知识）、规范性教育（社会责任感、国家安全法）和实践性教育（心理、危机应对）。在教育途径上，要将国家安全教育融入爱国主义教育、国防教育和法制教育。,经济安全地位凸显，影响国家安全的行为主体扩大，非国家行为主体（超国家的政府间组织、非政府组织、跨国公司，甚至于国际恐怖组织）的作用日益突出。规则竞争日趋激烈，国际间相互依赖不断增大，冲突的成本不断上升，国际斗争由矛盾激化后的直接冲突转向于矛盾激化之前的规则竞争。一些全球问题的涌现，如环境、资源、能源、跨国犯罪等等，也对国家安全构成越来越大的威胁，成为全球化时代国家安全的新变量。西方敌对势力借中国改革开放融入全球化进程之机，用商品交换的外壳掩藏其意识形态渗透的动机，实行意识形态上的“六化”：西化、分化、溶化、淡化、腐化、丑化。互联网的快速发展对国家安全提出新的挑战，如网络恐怖主义、网络犯罪、网络霸权、网络信息战等威胁国家安全的新形式。,Medium
147,论国际刑事法院对恐怖主义犯罪的管辖权,2007,国家安全学领域论文,《罗马规约》明确规定了国际刑事法院对灭绝种族罪、危害人类罪、战争罪和侵略罪的管辖权，但没有具体规定对恐怖主义罪的管辖权。把恐怖主义罪作为一个罪名纳入国际刑事法院的管辖范围，将在法律上有效地打击恐怖主义犯罪，从而最大限度地缩小恐怖主义对国家安全的威胁。《罗马规约》第7条第1款将危害人类罪定义为广泛或有系统地故意针对任何平民人口进行的攻击中，作为攻击的一部分而实施的行为。将国际刑事法院的管辖权集中在最严重的恐怖主义犯罪的方法之一是适用不低于危害人类罪的限制条件来定义恐怖主义罪。具体来说，"恐怖主义罪"可被增加到《罗马规约》第7条第1款中的犯罪行为列表中。,在美国'9·11'事件发生之后，联合国秘书长科菲·安南和联合国人权事务高级专员玛丽·鲁滨逊指出，美国'9·11'事件中的攻击行为构成了危害人类罪。很多国家和学者认为，恐怖主义罪应由国际层面的司法机构审判。联合国'威胁、挑战和改革高级专家组'建议联合国大会谈判以达成普遍接受的恐怖主义定义，并使之成为国际犯罪。安理会的若干决议谴责恐怖主义是对国际和平与安全的严重威胁，2001年后对12个联合国反恐公约的批准剧增，都是恐怖主义已发展成国际犯罪的明证。在罗马会议上，阿尔及利亚、印度等国要求将恐怖主义罪纳入法院管辖范围。从实践看，国际刑事法院管辖相比国家审理更公正客观，是更优雅的解决方式。,Medium
148,接触中国:美国对中国崛起的初步反应————以克林顿政府为例,2007,国家安全学二级学科论文,"本文以邓小平“国家主权和安全要始终放在第一位”的命题为基本论点，以“国家安全方程式”为基本框架，比较全面地阐述了邓小平国家安全战略思想。一个主权国家的国家安全,如果可以用方程式表示的话,那么列式如下: $N_{s}=(C+E+M)\times(S+G+N)\times(I_{s}+D)$。在公式中, $N_{s}$ 表示国家安全, $C$ 表示人口和领土构成的基本实体, $E$ 表示经济力量, $M$ 表示军事力量; $S$ 表示国家战略目标, $G$ 表示国家政权力量, $N$ 表示国家民族凝聚力量; $(C+E+M)$ 相当于国家的物质力量,即硬国力; $(S+G+N)$ 相当于国家的精神力量,即软国力; $(I_{s}+D)$ 则是国家的国际影响力。根据这一公式的思路,将邓小平有关论述依次整理,便可发现,邓小平关于国家安全的战略思想是非常丰富和深刻的。","在政治领域,对华接触主要通过政府高官乃至元首的多边和双边会谈、访问来进行。1995-1996年的台海危机是这一过程的关键转折点，期间美国出于威慑中国的考虑，向海峡附近派出两支航母编队，使两国关系降至建交以来最低点。在经济领域，克林顿政府的接触政策包括：1.在促进中国对美开放市场和保护知识产权方面同中国进行双边谈判，使用强制性策略；2.以美国认为适当的条件把中国融入多边国际经济体制；3.通过两国私营产业部门的经济接触，提高中国对美国市场和资金的依赖程度，从而“套牢”中国。在安全领域，美国的接触政策主要包括：1.通过在常规武器销售、导弹和核技术扩散、美国对台军售等重大安全问题上与中国进行双边沟通或谈判，调整双方的利益；2.促使中国加入国际多边安全机制；3.在中美两国军事官员和部门之间开展跨机构的交流活动，包括双边安全对话、相互收集信息，举行联合救灾和人道主义救援行动军事演习等。",Medium
149,“东突”问题中的美国因素,2007,国家安全学领域论文,美国外交的基本原则是自身利益至上，在“东突”问题上的战略考虑则涉及反恐、美中关系、地缘政治和意识形态等多种因素。其不同需求之间存在冲突，由此也导致美国“东突”政策的模糊和多变。考察美国对“东突”问题的态度更多要放在中美关系、全球反恐和中亚地缘政治等背景下进行。美国在新疆地区没有直接的战略利益，但担忧中国崛起挑战美国利益，因而相信可以利用“东突”问题来削弱中国在相对薄弱的西部的控制力。美国的反恐战略重点是反恐而非人权。美国的中亚战略是试图促使中亚摆脱俄罗斯、中国和伊斯兰极端主义的影响，使其成为接受西方价值观的地区。,“东突”组织在境外的初创阶段曾得到美国“自由中国救济会”和“宗教服务处”的资助。美国前总统克林顿、副总统戈尔等政要多次秘密会见新疆民族分裂分子。1999年美国政府发表的《中国人权报告》首次指责中国的新疆政策。美国政府于2004年9月默许其在华盛顿成立所谓“东突流亡政府”，两个月后成立“东突流亡议会”。截至2004年9月18日，在美国的“东突”分子已增至1000人左右。美国联邦调查局局长穆勒公开表示在中国活动的有些组织具有和恐怖分子相同的信念。美国国会曾就此召开听证会，众议员巴尼·弗兰克公开宣称其支持“东突”组织的活动。“维吾尔美国协会”从“国家民主捐助基金会”得到了资助。美国国防部还将关押在关塔那摩的“东突”恐怖分子释放到阿尔巴尼亚。,Medium
150,文化危机与经济安全,2008,国家安全学领域论文,解决问题的方法首先应从强化物质手段入手，抓住问题的源头。同时，文化危机本身是文化安全问题，要从增强文化自身的免疫、发展和创新能力入手。应对文化危机的三大对策包括：首先，形成有效的文化产业的市场化运作体制。文化产业要摆脱与市场割裂的状况，在管理体制、经营机制和效益评价等方面遵循市场经济规律。其次，争取文化的话语控制权。这就要求：一是加大科学技术的发展力度，尤其是信息技术。只有占领信息技术的制高点，才能牢牢掌握文化的话语控制权。二是通过发展民族产业，来支持经济健康良性发展。再者，加强文化管制。首先要加强文化的输入输出管制，其次要加强文化发展管制，再者要尽量减少主流传统文化的流失。,文化的经济属性决定了文化与经济的互动关系紧密而深远。经济全球化所带来日益频繁的经济、文化交流催生了文化危机出现的可能性，文化霸权主义在经济全球化进程中得以贯彻落实。现代科技的发展，尤其是信息化网络所带来的革命性的文化交流方式，极大地刺激了文化生产的变革。从内部来看，一个民族在出现文化危机的时候，往往伴随着文化疲惫、文化歧出、文化变质的蜕变过程，最初的文化疲惫和文化歧出正是物质文明背后隐藏的文化饥渴。文化交流呈现明显的单向性，处于弱势地位的民族文化正在经受西方强势文化的冲击而面临被吞噬和同化的命运。强势文化反而会取得更强大的经济基础作保障，而弱势文化则导致恶性循环，最终后果是强者恒强，弱者恒弱。,Medium
151,网络组党结社与国家政治安全,2008,国家安全学领域论文,网络组党结社是信息化时代秘密结社的一种新型组织形态，具有政治诉求多元、组织发展隐秘、活动方式多变以及成员结构复杂等特性。要有效地维护国家安全和社会政治稳定，只有不断加大对其调查研究力度，各有关职能部门通力协作，密切配合，才能有效应对网络非法组党结社活动。对新时期网络组党结社的相关对策包括：改革现行网络宣传管理体制，增强主流网络媒体对网民的吸引力；从事网络监管的有关职能部门要加大网络监督管理力度，及时控制、处置网络组党结社；认真研究当前网络组党结社活动的方式和特点，有针对性地采取不同的应对策略；建立网络组党结社处理协作机制，形成整体合力；建立健全相应的法律法规体系，依法应对网络非法组党结社活动。,网络结社组织的形式主要有：以境外“民运”人员为主体组建的政治组织（如“中国民主正义党”）、境内部分对现状不满的人建立的政治性组织（如要求实行西方的“三权分立”）、民族分裂势力和宗教极端势力组建的非法结社组织（如“东突”暴力恐怖势力、“达赖集团”）、境内“维权人士”组建的一些具有结社性质的网站、围绕各类社会热点问题（如“保钓”、“反腐败”）所形成的组织团体。据统计，2003年以来新出现的组党结社活动中近三分之一与社会弱势群体有关。活动方式包括：在网上发表各种煽动性文章、制造传播谣言、组织发动网民进行各种网络签名、游行示威；民族分裂主义团体还组织境内人员偷渡出国接受训练活动。,Medium
152,以色列国家安全的现实主义解读,2008,国家安全学二级学科论文,"现实主义理论认为,国际体系中没有中央权威,体系中各单位(国家)之间是平等和相互独立的关系。无政府状态、单位职能的相似性及国际权力的分散分布成为国际体系的实质特征。国际体系是一种自助体系,以安全竞争为基本互动关系,主权国家之间的安全困境是普遍存在的。所谓结构性安全困境,是指在特定的国际安全结构中,处于同一体系的行为体之间出于对安全的不同诉求而导致的安全竞争态势。以色列国家安全存在着国际、地区和国家单位三个层面的结构性安全困境。以色列希望通过维持均势、建立战略优势、改善安全环境的现实主义安全政策，并未促使以色列摆脱安全困境的桎梏。对两种博弈模式的分析说明，只有在安全互信的基础上，与阿拉伯伊斯兰世界建立切实有效的合作安全机制，才是以色列摆脱安全困境的根本出路。博弈论可分为合作博弈和非合作博弈。二者的区别在于人们在社会活动中相互作用时,当事各方能否达成一个具有约束力的协议。","以色列国家安全存在着国际、地区和国家单位三个层面的结构性安全困境。在国际安全格局中,美国既是以色列的战略伙伴,也是以色列赖以生存的最后保障。在地区安全层次,以色列与中东其他国家存在着民族、宗教方面的根本矛盾。在国家层次上,领土问题以及由此产生的水资源、难民问题等都成为历史和现实中难以解决的棘手问题。历次阿以冲突表明,以色列既不能以消灭任何一个阿拉伯国家为战略目标,也决不能允许任何一个阿拉伯国家对以色列国家安全构成致命性威胁。以色列的军事行动主要是解决某些具体议题,即“定点清除”某些可能危及以色列国家安全的目标。以色列的威慑政策追求的是对阿拉伯国家的安全优势。以色列寻求国家安全的战略可以利用“囚徒困境”博弈模式进行分析。对美国而言,它具有是否介入巴勒斯坦问题的两种选择。以色列的核威慑的潜在性表现在其不承认、也不否认拥有核武器。",Medium
153,构建新世纪中国国家安全战略路径探索——以全球化和中国身份变化为视角,2008,国家安全学二级学科论文,【补全】构建当前和未来的中国国家安全战略应以全球化和中国身份变化为路径，在战略方针拓展、战略能力发展和对外战略选择上实现创新和超越。战略方针是国家安全战略的主题与核心，是一定时期内指导国家安全事务全局的总纲领和总原则。积极防御战略方针在新的历史条件下应拓展视野，突出主动进取，将积极预防作为主要政策取向，纳入其基本内涵，以适应当前国家安全形势对安全战略提出的新要求。积极预防的本质特征是防患于未然。这要求主动实现国家安全战略指导重心由维护生存利益向维护发展利益转变，主动塑造在维护国家安全活动中的态势，并主动维护和拓展国家战略利益。在战略能力上，要求实现要素型战略能力的全面协调发展和稳步提升结构型战略能力。在对外战略上，兼顾独立自主与国际合作，走“自主合作型”安全战略。,以亚洲金融危机、“9.11”恐怖袭击、“SRAS”肆虐、印度洋大海啸等等世界性的震荡和冲击为突出标志，非传统安全问题已经形成传统安全领域外的新安全挑战。中国由国际棋盘上的次要地位越来越被视为主要竞争对手或潜在威胁，处于国际社会的基本矛盾之中和国际斗争的前沿位置，成为西方大国共同加以防范和遏制的主要对象。例如，在全球范围内，美国将中国视为主要对手的迹象越来越明显，在2006年的《四年防务评估报告》中，中国不仅被明确列为“站在战略十字路口的新兴国家”，而且在“所有主要的崛起大国中，中国最有可能在军事上同美国竞争”；在地区范围内，日本也将中国看做是对其地区主导地位构成现实威胁的主要竞争者，2005年日本《防卫白皮书》大势渲染中国威胁，2006年日外务省《裁军白皮书》又指责中国扩张军力、缺乏透明度；在次区域范围内，印度一直把中国当成主要假想敌，东盟对中国的崛起亦心存疑虑。中国在广泛的安全领域和利益上受到外部冲击和影响的现实性和可能性都在增长，例如毒品、恐怖主义等非传统安全问题对中国经济发展和社会稳定的危害在逐渐增大。,Medium
154,当前国际战略形势分析与中国安全环境展望,2008,国家安全学二级学科论文,【补全】本文从主要大国战略态势、大国关系新变化、国际安全环境、中国对外战略等四个方面综合分析当前国际战略形势。战略方针拓展上，应将积极预防作为主要政策取向，纳入其基本内涵，以适应当前国家安全形势对安全战略提出的新要求。积极预防的本质特征是防患于未然。在对外战略选择上，应兼顾独立自主与国际合作，走“自主合作型”安全战略。应对策包括：最大限度地压缩“台独”国际空间，坚决遏阻“法理台独”；全力办成“最好一届”奥运会，积极应对国际舆论斗争；有效化解西方大国协调对华图谋，妥善应对大国领导人更替；稳步推进区域合作，有效应对地区热点；妥善处置对外经贸摩擦；有效兼顾国家利益与国际责任，共同应对国际热点。,国际形势错综复杂，呈现六大特点：主要大国加紧调整对外战略，国际战略格局加快重组；多边主义明显增强，国际组织与国际机制转型加快；传统安全竞争的深度、高度与广度不断推进，非传统安全问题越来越具有全局性与战略性影响；“新兴大国”成为世界经济保持较快增长的主要推动力；亚太格局酝酿深刻演变，不稳定因素有所增加；中国积极应对快速发展面临的诸多挑战。美国2008财政年度常规国防预算高达4600亿美元，俄将在2007-2015年期间斥资1890亿美元用于武器系统全面升级。2007年世界经济增长为5.2%，其中中国增长11.5%，印度8.9%，俄罗斯7%。国际油价已过100美元大关。朝鲜核设施“去功能化”正式启动，朝核问题取得实质性进展。美国等为抗衡不断上升的中国影响而一再加大对中国周边地区的投入，美即将在日本部署核动力航母、加紧在亚太十一国部署“全球鹰”高空无人侦察机。,Medium
155,印度“东进”战略及其对我国家安全的影响,2008,国家安全学二级学科论文,【补全】印度的“东进”战略包含着对其自身政治、安全、经济等多方面战略利益的考虑，而且具有制约中国的战略企图。在实施“东进”战略的过程中，印度政治、外交、经济、军事等多种手段并用，取得了较大成果。其主要做法有：以东南亚为战略方向，通过发展与东盟多层次的战略关系，将其影响力向东渗透。积极向东布建海洋军事力量，强化其“东进”战略的后盾与支撑。在对华战略上，开辟新的制约中国的空间，争夺对华战略关系的主动权。在战略能力上，印度海军将形成以3支航空母舰战斗群为核心、具备远程力量投送能力的“蓝水海军”。在印度东部、西部和南部的三个海军司令部中，负责东部沿海和孟加拉湾海域防御的东部海军司令部被列为印度海军建设的重点。,在通过马六甲海峡的船只中，近60%是中国的船只，而且大部分是油轮，中国所需80%左右的石油靠这条航道运输。马六甲海峡已构成中国名副其实的“海上生命线”。印度在其东海岸建立一个全新的大型海军基地，位于印度东海岸的安得拉邦兰比利地区和埃拉曼齐利地区之间，建成后整个基地面积将达20平方公里。印度海军将部署印度自行建造的“蓝天卫士”号航空母舰，新航母预计于2012年完工。印度海军从俄罗斯“租用”的“阿库拉”级核动力攻击潜艇也将部署在新基地。印度海军参谋长苏雷什·梅赫塔中将指出，东部舰队未来将形成一支拥有300架军用飞机的强大海上力量。印度国防部年度报告多次提到，中国加强与缅甸的关系是为了在印度洋获得立足地。,Medium
156,奥运安保与国家安全,2008,国家安全学二级学科论文,"奥运安全影响国家安全和国家形象,国家安全状况也直接影响奥运会的安全保障。为此,举办国无不把奥运安全作为国家安全的重大事务来处理。其动员和运用的安保力量，既包括普通的警察和志愿者，也包括担负国家安全专项职能的军队和情报机构。国家安全专门力量的广泛运用，已经成为当代奥运安全保卫的一个显著特点。奥运安全与举办国的国家安全的相关性体现在：举办国的国家安全状况直接或间接影响着奥运会的安全；奥运会的安全直接或间接反映并影响着举办国的国家安全和国家形象。威胁奥运安全的前三个因素是战争、恐怖袭击和国际抵制。【补全】影响和威胁奥运会安全的因素还包括比较复杂的自然因素，如暴雨、酷热、强风、地震、瘟疫等。其他潜在的干扰因素同样要引起重视，特别是发生频率越来越高的非传统安全威胁因素，如生态环境安全、信息安全、资源安全、恐怖主义、生化及核武器扩散、疾病蔓延、跨国犯罪、走私贩毒、非法移民等。北京奥运会将采取的安全保障措施，内容包括“负责奥运会安全的组织”、“安全警力资源”、“奥运会安全计划的人力资源”、“武装力量的支援”、“法律保障”、“安全服务费用”、“情报部门的介入”等。",2008年北京举办的奥运会是中国第一次举办的超大型体育赛事，也是中华民族5000年文明史上第一次举办的超大型国际活动。1972年慕尼黑夏季奥运会因巴勒斯坦“黑九月”成员袭击以色列选手，造成流血事件，大会被迫停办一天。奥运史上，有3届奥运会流产，原因是战争破坏了举办国的安全状况，使其丧失了举办奥运会的能力，这3届是1916年柏林、1940年东京和1944年伦敦。《北京奥运会申办报告》第3卷专设一章讨论安全保卫问题，第1节就是“恐怖活动的分析和对策”。“上访文化”已经形成，“上访村”在两会或国家重大政治活动前后，人数会增至万人。国际刑警组织秘书长发出特别警告，称北京奥运会可能会遭遇恐怖袭击，很可能是来自生化病毒方面的威胁。最有可能在奥运期间发动恐怖袭击的是“东突伊斯兰运动”。,Medium
157,未来五年中国国家安全面临的机遇与挑战及战略思考,2008,国家安全学二级学科论文,未来五年中国国家安全问题具有“五个交织”的新特点：即重要性与紧迫性交织；局部与全局交织，局部问题也具有全局性影响；潜在与现实交织，如不加防范潜在风险将会发展成现实威胁；传统与非传统交织，传统安全挑战依旧严峻，非传统安全威胁日趋上升；内部与外部交织，内部安全问题存在外部势力干预的背景，外部安全挑战容易引发内部问题。有效维护新时期中国的国家安全，务必在观念更新、能力建设、战略谋划、体制创新等方面下大工夫。应对策略包括：有效兼顾安全与发展，切实维护“综合安全”；完善安全战略，强化战略谋划，突出重点、突破难点；强化中央统筹协调，加快体制机制创新；妥善兼顾“国家利益”与“国际责任”，不断增大在国际体系中的影响力与战略主动权。,美国霸权扩张受挫，霸权主义与强权政治更难得逞。国际竞争也更多体现为以经济与科技为核心的综合国力竞争。仅按美元汇率计算，预计2007-2011年美国、日本、德国、英国、法国等西方五强占全球GDP比重将由53.3%降至49.7%，中国、俄罗斯、印度、巴西四国将从12.1%升至14%，其中美国将由28.1%降至26.8%。中国GDP的世界排名在未来五年将呈“坐三望二”之势。经济对外依存度偏高，外贸占GDP的比重在2006年高达63%。境外能源资源供应安全缺乏保障，石油、铁矿石等重要资源进口占中国消费的比重现已达到甚至超过50%。外资恶意并购中国的战略产业，中国的产业与科技安全面临威胁增大。巨额外汇储备面临经营风险，开放资本市场与金融监管乏力易导致国际游资大进大出，金融风险增大并易引发重大复合性社会与政治危机。,Medium
158,非传统安全研究中的国家文化安全关注,2008,国家安全学一级学科论文,非传统的国家文化安全研究，在方法上也需有新的特点。研究领域的越界、跨界性：非传统安全现象的出现，越来越模糊了传统的国内政治与国际政治的界限、高级政治与低级政治的界限、政治治理与社会治理的界限、国家安全与社会安全的界限，相关的研究思维和视野必须更开阔和灵活，允许越界谈论和经常跨界思考，理念和价值认同也应更加开放、开明。研究思路的跨学科和跨文化性：在谈文化安全的方式上，也必须将国家文化发展战略与超国家的全球人类文化发展状况、和次国家的社会、地区、团体和公民个人的文化发展情况关联起来考虑，了解它们之间的复杂联系、交往方式和变化历程，促进它们之间的良性互动和深层次交流。研究视域的多维、立体和移动性：非传统的文化安全研究更推崇一种多层次、多维度的“立体安全”理念，要求对“变化”、“关联”、“互动”、“复杂”和“不确定”等术语所指向的安全状态和特质，保持高度的敏感，用不断更新的研究视域、思路和方式去加以追踪和分析。,传统安全研究更关注“国家安全”，非传统安全研究更关注“人的安全”。非传统安全研究在后冷战的格局下强调：“人的安全”应该是国家安全的终极目的。非传统安全概念的萌生源于“罗马俱乐部”报告提出的可持续发展思想，预警了人类社会面临的非军事性灾难（如生态退化）。在谈到文化间的误解和冲突时，安提丰与人谈话收钱，遭到雅典另一位大哲学家苏格拉底的诘难。安提丰答：你不向与你交往的人收取费用，你是正义的。但是，每一件衣服或每一间房子都是值钱的，不能白送。如果你的谈话有价值，就可以要求别人付以适当的价格。在这个故事里，两位古希腊智者都在口头传播智能，但已经具有雅典公民身份的苏格拉底在此更注重伦理，雅典新移民安提丰被迫先注重生存。智能与智能有时不能彼此容忍，真理与真理也常常会引发冲突，这就是一种典型的个体间文化或价值观的冲突。,Medium
159,新形势下国家安全观的内容及特点,2008,国家安全学一级学科论文,新形势下的国家安全观应是全方位的系统安全观。文章主要分析了新形势下国家安全观的五个主要特点：非传统安全问题凸显，但并没有取代传统安全问题；国家的外部安全依然重要，而国内安全更为重要；人的安全是国家安全的最终目的，而国家安全是人的安全的前提；没有发展就没有安全，但单纯的经济发展并非必然带来安全；全方位的系统安全观。传统安全观的研究模式基本上是以军事安全为核心，把安全研究界定为有关军事力量的威胁、使用和控制的研究，这种研究模式后来被称为传统主义模式或传统安全观，又被称为冷战时代的安全观。,非传统安全问题凸显，但并没有取代传统安全问题。相反，传统安全挑战不仅没有减少，反而有新的增加，如恐怖主义的威胁、大规模杀伤性武器的扩散、地区冲突与战争、以及大国间的核军备竞赛等。非传统安全问题的突显，使安全问题的内涵日益丰富，包括政治、经济、社会、文化、生态、信息、资源等诸多方面。国内安全的重要性在国家安全中的地位日益突出，甚至更为重要。在安全与发展关系上，没有发展就没有安全。单纯的经济发展并不必然带来国家安全，如果缺乏社会公平与正义、政治民主与制度的自我完善，反而会使社会矛盾积聚，引发动荡和危机。,Medium
160,俄罗斯欧亚主义哲学及其对华安全理念——地缘政治视角,2008,国家安全学二级学科论文,【补全】本文拟就地缘政治视角，对俄罗斯欧亚主义哲学及其对华安全理念作一粗浅的探讨。欧亚主义哲学具有明显的**地缘政治色彩**，其核心理念是对**欧亚大陆地缘政治空间**的**占有与争夺**。这一哲学为俄罗斯制定和实施**国家安全战略**提供了一种**理论指导**和**思想支撑**。欧亚主义的地缘安全理念包含**多维安全思想**，认为安全是**历史**的、**政治**的、**精神**的、**宗教**的、**经济**的和**军事**的。当代俄罗斯欧亚主义哲学的安全理念也**不是静止不变的**，而是**动态、发展**的。俄罗斯对华安全理念涉及**军事、政治、经济、社会、意识形态**等诸多层面。其分析框架是基于**欧亚主义的地缘安全观**来解构俄罗斯对华战略，重点考察其**地缘政治思维**对双边安全合作及战略竞争态势的影响。,欧亚主义哲学的对华安全理念具有**地缘政治、历史、精神和现实**等四方面的特征。在**叶利钦**和**普京**两届政府的对华政策中，这种理念表现得十分明显，体现出一种**历史继承性**和**现实性**。例如，**普京政府的《俄罗斯联邦国家安全构想》**明确将**东亚地区**视为其国家安全利益集中的地缘区域，并强调**积极维护独联体一体化进程**。在**军事领域**，欧亚主义推动俄罗斯与中国建立**军事合作关系**，共同**反恐**、**反分裂**。在**政治领域**，欧亚主义推动中俄共同主张**多极化**，反对**霸权主义**。在**经济领域**，欧亚主义的地缘安全理念突出强调**能源、资源安全**，这在**中俄能源合作**中体现得淋漓尽致。在**意识形态领域**，俄罗斯在与中国的合作中，**既有分歧，也有合作**，尤其在**价值观念**上，欧亚主义与中国传统文化有很多**共鸣之处**。,Medium
161,金融安全刑法保护的价值思考,2008,国家安全学领域论文,【补全】本文旨在探讨刑法在金融安全领域的价值选择，兼顾其功利性与公正性的二致性。研究采用功利主义和公正主义价值分析框架，核心问题是刑法适用过程中存在的国家利益与个人自由矛盾的尖锐性和协调的困难性。刑法对金融安全的保护主要出于功利性的价值选择，但要达到实现正义的终极目的，相对温和的刑法公正价值需要得到淋漓尽致的发挥。为此，应以刑法的謙抑性、最后保障性为指导思想，构建一种协调个人自由与国家利益、功利与公正的刑法保护新模式，并从价值观念的角度和立法技术层面去设计刑法。刑法保护的谦抑性原则要求刑法作为最后的保障法，不能过早地介入经济领域。刑法保护的正当化原则要求对金融犯罪进行体系化的思考，明确刑法的谦抑性原则。,本文的论证基于比较法理论和犯罪学理论。分析中引用了美国刑法对金融犯罪的规定，特别是洗钱罪的规定。金融安全刑法保护中存在着犯罪化和非犯罪化的价值权衡，需要考虑刑法介入的界限，特别是在单位犯罪、集团犯罪等领域。犯罪的功利性价值在于对金融秩序的维护和对金融体系的保护，而公正价值则体现在刑法对人权和个人自由的尊重。有学者指出，金融犯罪的刑法保护应从人权保障的角度去考虑。美国“反恐金融战”对国际金融制度产生深刻影响，是刑法对金融安全进行保护时必须考虑的外部政治环境。刑法对于金融诈骗、洗钱、内幕交易等金融犯罪的界定和处罚上应遵循比例原则。,Medium
