paper_id,title,year,MethodTransparency,Approach,Families,Tags,method_text_explicit,method_text_implicit
693,国家安全学学科建设的探索、问题与纾解,2023,Low,混合,"['实验', '文本/话语/框架分析', '调查研究']","['内容/话语/框架分析', '实验/准实验', '法学规范（解释型）', '调查研究/Survey']",【推断】本文未设置独立“研究方法”小节，整体为学科建设综述与政策研判。显性部分主要依托教育部文件、国务院通知、学科评议组会议纪要以及各高校探索案例，形成逻辑论证…,【补全】文章在隐性层面体现出方法特征：全文依循“实践探索—现实问题—纾解思路—具体举措”的框架，相当于运用了比较分析与案例归纳。实践探索部分，通过对清华、北大、复旦、南大等高校不同路径的总结，形成跨案例对照；现实问题部分，分类归纳学科定位混…
759,总体国家安全观的文明基底与理论体系,2025,High,混合,"['博弈与优化', '实验', '文本/话语/框架分析']","['内容/话语/框架分析', '博弈/优化', '实验/准实验', '政策解读/思政', '文献研究', '法学规范（解释型）']",本文在研究方法上主要采取文献研究、历史考证与规范性分析的路径，结合总体国家安全观提出与发展的过程，系统梳理其文明基底与理论体系；研究设计分为文明基底、创新发展、…,隐性方法体现在文章通过“文明基底—创新发展—理论硬核—理论特质”的逻辑展开，展现了框架化建模与阶段化总结的研究思路；在文明基底部分，通过对中西方历史、文化与安全观念的对照，隐性体现了比较研究与历史归纳的路径；在创新发展部分，强调术语创新与范…
559,中亚国家语言安全问题探析,2021,Medium,定量,['实验'],"['实验/准实验', '文献研究', '法学规范（解释型）']",文章未设置独立的“研究方法”小节，但在研究路径上系统采用了政策文件解读、跨国比较与文献综述结合的方法。作者围绕中亚五国语言规划与国家安全的关系，归纳各国自独立以…,隐性方法主要体现为案例和数据的解释逻辑：作者在结果和讨论部分，通过表格数据（如图书译介量、维基百科词条、俄语掌握状况等）与语言安全四个维度的对比，间接揭示分析方法；在论证中采取纵向分期（独立初期—改革转型—当下治理）与横向比较（哈、吉、乌、…
90,大变局下的涉外国家安全：概念界定、生成逻辑与优化方向,2025,Medium,定性,['过程溯源'],"['文献研究', '法学规范（解释型）', '过程溯源']",本文未设独立研究方法小节，但研究设计体现在理论引入与逻辑演绎。作者围绕党的二十届三中全会提出的“完善涉外国家安全机制”，通过概念界定、空间与情境维度分析，梳理“…,隐性方法体现在“案例支撑—逻辑推演—框架建构”。具体包括：通过梳理2004年以来外交部涉外安全事务司设立、2006年胡锦涛讲话、2009年外交部工作总结等案例，说明涉外安全概念的政策实践基础；通过比较“国际安全”“海外安全”等相关术语，界定…
605,总体国家安全观视域下金融安全法律规范体系的构建,2022,High,定量,['实验'],"['实验/准实验', '政策解读/思政', '文献研究', '法学规范（解释型）']",文章在研究方法上明确采用规范法学方法：以总体国家安全观和习近平法治思想为指导，结合现有金融法律规范的梳理和不足反思，强调通过政策转化、立法分析与制度建构推动金融…,隐性方法体现在逻辑建构与比较借鉴：作者通过国内外立法经验对照（美国《金融机构改革法》、法国《金融安全法》、英国《2009年银行法》等），提出中国特色体系化构建路径；在研究展开中，先分析现有规范现状，再提出问题，再进行政策基础总结，最后给出制…
433,双重协调: 中国的周边安全战略构建,2018,High,规范/思辨,"['文献研究', '法学—规范解释']","['文献研究', '法学规范（解释型）']",本文在研究方法上主要采取层次分析与理论建模相结合。首先回顾中国周边安全环境的复杂性，指出中国崛起效应、全球战略重心东移效应及周边国家转型的系统效应叠加，使得周边…,在隐性方法层面，文章展现出“比较研究—情景推演—制度分析”的逻辑。通过将中国周边安全与中美关系、朝核问题、南海争端、印巴冲突等案例并置，体现出跨案例比较方法；在对不同层次安全利益的分析中，采用情景推演，假设热点事件、政局动荡与突发危机对中国…
33,公安行业院校建设国家安全学路径探析,2023,High,混合,"['案例研究', '统计与计量']","['案例研究', '统计/回归/计量']",明确摘录：文章指出“我国国家安全学学科建设具有目标明确性、学科综合性、研究方法多元性及学科发展特色性等特点”，并强调“需要在坚持系统思维的基础上，借鉴其他学科多…,【总结】文章属于国家安全学学科建设研究类，聚焦公安行业院校如何推进国家安全学一级学科建设。研究方法层面强调系统思维与多元方法结合：①规范研究与比较研究（对比公安学、法学、国家安全学的定位与边界）；②跨学科与系统研究（融合公安学、公安技术、法…
31,人类安全算法“升级”：战争—竞争—竞合—和合,2023,High,定量,['实验'],"['实验/准实验', '法学规范（解释型）', '理论/概念分析']",明确摘录：“安全算法”（security algorithm）的引入对安全与不安全（即“安全负熵”与“安全熵”）的研究具有重要的方法论意义。算法既可以用数学算符…,【总结】文章属于国家安全思想与理论研究类，从“安全熵”与“安全算法”概念出发，构建人类安全演进的算法分析框架。研究方法为跨学科理论建构与逻辑演绎：①概念引入与范畴界定（借鉴物理学“熵”、算法论，提出“安全熵”“安全算法”范畴）；②历史演进分…
96,总体国家安全观的法律化,2025,Medium,混合,"['实验', '过程溯源']","['实验/准实验', '政策解读/思政', '文献研究', '过程溯源']",本文未设独立研究方法章节，但研究思路体现在法学规范研究与政策文本分析。作者以2015年版《国家安全法》为核心，探讨总体国家安全观如何通过立法程序实现法律化，资料…,隐性方法体现在“案例剖析—比较分析—逻辑演绎”。具体包括：通过回顾1993年版与2015年版《国家安全法》在职责范围、制度机制、保障措施上的演变，说明总体国家安全观的嵌入路径；结合《反间谍法》《数据安全法》《生物安全法》《网络安全法》等配套…
224,建构主义视野下的东北亚安全困境研究,2015,Medium,定性,['过程溯源'],['过程溯源'],本文在建构主义视野下来思考东北亚安全困境问题，将区域体系文化、共有观念、身份认同这三大要素成为了解构东北亚安全困境的重要路径。研究采用了国际关系理论的比较分析，…,文章采用建构主义理论框架，将区域体系文化归属于“脆弱的洛克文化”，并指出其复杂性和不稳定性源于区域内大国和小国的共同建构、双边体系文化交织相错的“网格状牵连效应”和区域热点事件（如朝鲜问题、领土争端）的影响。共有观念则归因于历史记忆的累积，…
239,以绿色发展构建环境安全保障型社会,2016,High,定性,['过程溯源'],['过程溯源'],环境污染突显了环境安全的价值，以及构建以绿色发展为特征的环境安全保障型社会的必要性和紧迫性。研究引用了 2014 年的数据，指出我国地级及以上城市空气质量达标率…,文章采用风险分析框架，指出环境污染的危害不仅影响生态安全，还与政治安全、经济安全和人身安全相互交织。研究通过数据分析，指出了环境安全面临的严峻挑战，例如我国单位 GDP 能耗在 2012 年仍比世界平均水平高出 2.56 倍。文章论证了构建…
518,我国科学数据安全保障路径研究,2021,Medium,定性,['过程溯源'],"['文献研究', '过程溯源']",【摘录】文章阐述了科学数据安全保障的现实意义和重要价值，系统梳理了当前我国科学数据安全研究的现状与不足，分析了我国科学数据安全面临的主要威胁，并从多个方面提出了…,【摘录】在科学数据共享之前，科研人员缺乏安全意识或专业技能，存在随意转移、处理和销毁数据的现象，导致安全隐患；在共享之后，科学数据中心和平台虽为主要载体，但其运营和维护仍需相关人员参与，安全保障依赖多方协同。文章指出，我国重点科学数据外流严…
617,交叉学科背景下国家安全学学科人才培养路径研究,2022,Medium,定量,['统计与计量'],"['政策解读/思政', '文献研究', '理论/概念分析', '统计/回归/计量']",【摘录】本文采用文献研究与案例分析方法，从理论与实践结合的角度探讨国家安全学人才培养的路径。研究首先从总体国家安全观出发，提出国家安全学具有主体性、交叉性、开放…,【摘录】隐性方法层面，文章通过结果与实践展示研究逻辑：一方面以吉林大学案例为基础，按试点建设—博士授权—跨学科整合的阶段顺序，体现纵向演进与阶段比较；另一方面结合人才培养目标与路径，展示问题导向、跨学科融合、课程模块化、实践教学等多元设计，…
28,党的二十大开启国家安全事业新征程,2022,Low,定量,['博弈与优化'],"['博弈/优化', '政策解读/思政', '法学规范（解释型）']",无可明确摘录,【推断】文章为总体国家安全观研究的理论阐释类，聚焦党的二十大报告对国家安全的专章论述，研究逻辑主要为“历史成就—现实挑战—理论创新—战略部署”。方法论上主要通过政策与战略文件解读（党的二十大报告、国家安全战略纲要、国家安全战略2021—20…
575,边境旅游面临的国家安全问题研究,2022,Low,规范/思辨,"['文献研究', '法学—规范解释']","['文献研究', '法学规范（解释型）']",文章未设独立研究方法章节，但在研究路径上采用了文献综述、政策文件解读与案例分析相结合的方法。具体做法是：以国家旅游局、文化和旅游部、公安部等出台的政策法规为资料…,隐性方法体现在论证框架与案例化说明中：作者依照“阶段演进—区域划分—风险分类—治理策略”的结构展开，形成系统化研究思路；在案例部分引用朝鲜核试验、印中边境冲突、中缅跨境犯罪、蒙古沙尘暴等具体事件，说明研究采用跨国比较与案例映射；在治理对策中…
204,论海权对于我国的重要意义——基于国家安全和政权稳固的视角,2013,Medium,,[],[],"所谓海权,分别有**海洋权力、海洋权益和海军力量**的涵义。海权对于我国具有重要意义。从**国家安全**方面看,海权对于我国的**经济安全和国防安全**具有重要…",海权的涵义包括**海洋权力、海洋权益和海军力量**。海权对我国国家安全具有重要意义，体现在对**经济安全**和**国防安全**的保障。在**经济安全**方面，中国对外贸易的**95%以上**依赖海上运输 [cite: 1746][cite_…
734,理解近代西方国际秩序的新视角——“百合状互动”,2025,Medium,定性,['历史与比较'],"['历史/比较历史', '文献研究', '法学规范（解释型）']",本文在研究方法上主要采取文献研究、历史梳理与比较分析的路径，围绕近代西方国际秩序从威斯特伐利亚体系到维也纳体系的演进过程，提出“百合状互动”的新视角；研究设计强…,【补全】隐性方法体现在文章通过“单元维度的分力与合力—体系维度的均势与霸权—国际比较的治与乱”的三重结构，展现了框架化和分层次分析的隐性研究思路；研究在“王权—教权—商权”的互动关系中，采用比较分析与历史归纳的方法，隐性揭示了国际秩序演进的…
666,国家安全系统理论刍议,2023,Low,定性,['文本/话语/框架分析'],['内容/话语/框架分析'],无可明确摘录,【推断】全文以理论阐述为主，围绕国家安全系统的要素、结构与功能展开，强调系统论视角下的整体性与关联性。研究方法未单设小节，但文章通过界定系统概念、分解系统层次、对比不同安全要素的关系，体现出隐性的理论建模与框架分析思路。整体过程呈现为：提出…
719,美国人工智能法律政策下的美式“安全观”与中国因应,2025,Medium,定性,['政策分析与评价'],"['政策分析/评价', '政策解读/思政', '文献研究', '法学规范（解释型）']",文章主要通过文献综述、政策文本解读与理论归纳的方法，分析美国人工智能产业格局、法律政策构架及其对华遏制倾向；研究框架基于国家安全学与法学的交叉，结合国际关系中的…,【补全】隐性方法体现在文章通过“需求感知—构建安全化诉求—泛安全化—逆安全化”的逻辑链条，构建演绎性分析框架；在论证过程中，结合DeepSeek与OpenAI等案例，以对比方式揭示美式“安全观”的逻辑嬗变；研究还通过跨阶段的政策文本和战略案…
430,“一带一路”与中国文化安全:挑战与应对,2017,Low,混合,"['政策分析与评价', '过程溯源', '风险与决策']","['政策分析/评价', '文献研究', '过程溯源', '风险/决策分析']",本文在研究方法上主要采取文献综述与政策分析相结合。首先从战略背景出发，回顾“一带一路”倡议提出的历史脉络，引用习近平讲话、《中国政府工作报告》及国内外学者（如王…,【推断】文章在隐性方法层面呈现出比较研究与情景演绎的逻辑。通过对美国文化霸权、中国文化产业发展差距和“一带一路”沿线宗教格局的分析，隐含政策比较与案例推演方法；在对西方媒体负面报道及美国文化影响的描述中，体现出舆论环境与软实力竞争的隐性比较…
226,政治生态：当前影响我国国家政治安全的至要因素,2015,Medium,,[],[],所谓政治生态，从现实政治环境讲，就是一个国家或地区政治生活现状以及政治发展环境的集中反映，是党风、政风、社会风气的综合体现。研究认为，由权力异化导致的政治生态恶…,文章采用政治风险分析框架，将政治生态恶化对政权安全的侵蚀和危及归纳为四个方面：权力异化直接侵蚀着执政的合法性（公权力在朋党、家族之间私相授受，毁掉与人民的“契约”关系，以北大博士生冯军旗对中部某县的调查为证）；权力异化带来政府公信力下降（直…
460,新时代中国国家安全治理模式转型研究,2019,Low,定量,"['实验', '统计与计量']","['实验/准实验', '文献研究', '法学规范（解释型）', '统计/回归/计量']",全文未设独立“研究方法”小节，但在导论与各部分通过规范分析路径展开，如引用马克·韦伯与科什纳关于安全治理的界定，结合中国宪法、1993年与2015年《国家安全法…,文章在隐性方法层面展现出案例化与比较分析的特征：通过对1993年旧《国家安全法》与2015年新《国家安全法》的条文对比，揭示治理主体由单一向多元转型的逻辑；通过习近平讲话与历次党代会报告的引用，展现国家安全观由传统—非传统—总体安全观的演进…
604,生物安全与人类生存发展息息相关,2022,Low,定性,['政策分析与评价'],"['政策分析/评价', '法学规范（解释型）', '理论/概念分析']",无可明确摘录,【推断】文章整体为理论阐释类，作者通过哲学分析与规范性论证，区分“生物安全”与“生物威胁”两个核心概念，构建“生物资源安全—生物生态安全—生物威胁防控”的逻辑框架。研究方法隐性体现在：历史追溯（早期食物链—现代疫情）、分类比较（益虫/害虫、…
285,中国对外军事合作及其作用和影响,2021,Medium,定性,['过程溯源'],"['政策解读/思政', '文献研究', '法学规范（解释型）', '过程溯源']",本文未设独立研究方法章节，但研究设计体现在政策文件分析与资料归纳。作者通过梳理《国际军事合作工作条例》、维和、护航、救援、反恐、军控与裁军、联演联训等七类对外军…,隐性方法体现在“案例剖析—比较分析—逻辑推演”。具体包括：通过维和行动、亚丁湾护航、国际救援、反恐合作、裁军机制与多边演习案例，揭示军事合作的多维功能；通过中美、中俄、中欧及周边国家的军事交往，说明合作模式的差异与特点；在逻辑推演部分，提出…
7,坚持总体国家安全观　走出一条中国特色国家安全道路,2022,Low,混合,"['博弈与优化', '政策分析与评价']","['博弈/优化', '政策分析/评价', '政策解读/思政', '文献研究', '法学规范（解释型）']",无可明确摘录,【推断】文章属于总体国家安全观研究的理论阐释类，重点在于论证总体国家安全观的历史必然性、基本内涵与战略意义。方法论上主要采取历史经验回顾（毛泽东主权安全思想、邓小平和平与发展安全观、江泽民新安全观、胡锦涛和平发展道路）、政策文献解读（习近平…
778,多模态数据驱动的安全态势感知框架构建,2024,High,混合,"['机器学习/文本计量', '统计与计量', '过程溯源']","['机器学习/文本计量', '统计/回归/计量', '过程溯源']",文章在研究设计部分明确阐述方法：[方法/过程]以安全情报理论与WSR系统方法论为理论依据，结合大量文献调研，按照“物理—事理—人理”的逻辑层次构建多模态数据驱动…,在隐性方法层面，文章通过结果与框架讨论体现“对比—归纳—应用”的逻辑：在物理层面，利用传感器、AI大模型、流处理技术等实现数据采集与序化；在事理层面，强调分布式获取与分域式处理，通过异常行为识别、溯源分析和态势预测揭示潜在风险；在人理层面，…
164,国家安全学科建设中的“非传统安全思维”,2009,Medium,定性,['过程溯源'],['过程溯源'],系统安全观，就是运用具有普适性的**系统方法**对国家安全问题进行**系统思考**，从而能够在安全问题上得出符合时代发展和现实要求的科学理论，提出具有充分可行性…,把**文化安全、科技安全、信息安全、生态安全**等纳入国家安全学体系，把**国民安全**作为国家安全的核心和国家安全活动的根本目的，把**文化的先进性**看作国家文化安全的关键。系统安全观的提出和应用，将整个国家安全问题分为**国家安全的构…
715,复杂性时代的国家安全学新范式：构建国家安全复杂学,2023,High,混合,"['仿真与系统', '文本/话语/框架分析', '过程溯源']","['内容/话语/框架分析', '政策解读/思政', '系统动力学/仿真', '过程溯源']",本文在显性部分明确说明研究方法：文章立足学科建设高度，结合总体国家安全观与复杂性科学，从认识论、方法论与实践论三方面展开论证。研究方法涵盖整体性研究（辩证唯物法…,文章在隐性层面展现研究逻辑：全文遵循“创建依据—学科定义—属性功能—研究对象—研究内容—研究方法—结语”的框架，相当于理论构建与方法统合。其在“复杂性依据”部分，从实践主体、体系、能力、关系、重大利益和环境六要素展开，体现框架化分析与因果链…
349,中国信息安全现状略论,2004,Low,,[],[],无可明确摘录,【推断】本文为综述类研究，未设置独立方法小节，但整体行文结构呈现了方法化特征：首先通过宏观背景和统计数据强调信息安全的重要性；其次分层次分析国家信息安全形势与隐患，归纳为意识淡薄、技术落后与管理不善三类内部隐忧，并结合案例说明网络攻击与信息…
160,俄罗斯欧亚主义哲学及其对华安全理念——地缘政治视角,2008,Medium,规范/思辨,"['政策解读/思政', '理论/概念分析']","['政策解读/思政', '理论/概念分析']",【补全】本文拟就地缘政治视角，对俄罗斯欧亚主义哲学及其对华安全理念作一粗浅的探讨。欧亚主义哲学具有明显的**地缘政治色彩**，其核心理念是对**欧亚大陆地缘政治…,欧亚主义哲学的对华安全理念具有**地缘政治、历史、精神和现实**等四方面的特征。在**叶利钦**和**普京**两届政府的对华政策中，这种理念表现得十分明显，体现出一种**历史继承性**和**现实性**。例如，**普京政府的《俄罗斯联邦国家安…
221,美国等西方国家对华“分化”策略的新变化及对策思考,2015,Medium,规范/思辨,['政策解读/思政'],['政策解读/思政'],本文分析了西方国家“分化”策略呈现的八个方面的新形式和五个方面的新特点。新形式包括：在战略上进行围堵和遏制的同时，积极插手利用领土主权争端对我进行“干扰”和牵制…,文章通过对策框架提出了战略层面的设计谋划（制定维护国家政治安全战略、全面谋划、构建维护政治安全体制）、增强执政的合法性基础与社会基础（坚持全面深化改革，促进社会公平正义）、增强政治安全和政权安全的信仰基础（积极构建和践行社会主义核心价值观）…
782,研析国家科技安全机理 积极维护国家科技安全,2024,Medium,混合,"['博弈与优化', '历史与比较']","['博弈/优化', '历史/比较历史', '政策解读/思政', '文献研究']",文章在研究方法部分未设独立小节，但从论证逻辑可见其研究设计：首先，采用文献分析与政策文件研读，系统梳理总体国家安全观下国家科技安全的理论内涵与演变脉络；其次，结…,【推断】在隐性方法层面，文章体现“文献梳理—历史比较—系统分析”的研究路径：一是通过科技发展与大国博弈案例揭示科技安全风险（供应链安全、关键技术依赖、新兴技术风险等）；二是通过归纳总结提出监测预警体系、法律制度建设和国际合作等具体对策；三是…
345,全方位研究国家安全,2002,Low,,[],[],文章在研究方法上未设独立章节，但在研究展开中体现出系统安全观指导下的理论建构与跨学科分析。作者提出国家安全的多方位性决定了研究国家安全必须采取全方位路径：从不同…,在隐性方法层面，文章按照“内涵界定—历史演变—多维展开—体系建构”的逻辑链条展开。作者通过区分国家安全的“源生内容”（国民、领土、经济、主权、政治、军事）与“派生内容”（文化、科技、生态、信息），说明安全问题的历史演进与内在联系；并结合自然…
95,系统思维视域下《国家安全法》十年实践的成就与展望,2025,Medium,定性,['过程溯源'],"['政策解读/思政', '文献研究', '法学规范（解释型）', '理论/概念分析', '过程溯源']",本文未设独立研究方法章节，但研究设计体现在系统思维理论引入与政策文本分析。作者以系统论和复杂适应系统论为基础，阐释系统思维在国家安全立法与实施中的价值意涵，强调…,隐性方法体现在“案例剖析—比较分析—逻辑推演”。具体包括：通过回顾2014—2015年《国家安全法》起草与审议过程，说明系统思维在立法中的深度嵌入；通过对比反间谍法、网络安全法、数据安全法、生物安全法等配套立法，揭示体系协同与重点领域推进逻…
390,俄罗斯国家经济安全及其评估,2012,High,混合,"['政策分析与评价', '统计与计量']","['政策分析/评价', '文献研究', '统计/回归/计量']",本文在研究方法上主要采用文献分析、指标体系构建与政策文本研究相结合的方式。首先梳理俄罗斯政府自1992年以来出台的三部纲领性文件，包括《俄罗斯联邦国家经济安全战…,【摘录】隐性方法逻辑表现为“政策文本—指标选择—数据比较—综合评估”的研究路径：作者首先引入经济安全的多元定义，强调其周延性、确定性与本质性；随后结合官方文件与学术观点，将经济安全的内涵拓展至经济增长、发展与稳定关系的综合状态；再以1996…
100,国际社会对《新时代的中国国家安全》白皮书的反应,2025,Medium,定性,['叙事/谱系'],"['叙事/谱系', '文献研究', '法学规范（解释型）']",本文未设独立研究方法章节，但研究设计体现在文献资料收集与比较分析。作者通过梳理日本防卫研究所、英国广播公司、法国蒙田研究所、印度智库及新加坡媒体等国际舆论对白皮…,隐性方法体现在“案例剖析—舆论比较—逻辑推演”。具体包括：通过比较不同国家与地区媒体对白皮书的报道，揭示正反两类认知差异；结合全球南方国家与西方国家的不同立场，说明国际社会的分化；在逻辑推演部分，将正面反馈与中国制度自信、和平发展战略挂钩，…
368,我国国家安全法律体系研究,2009,Medium,规范/思辨,['文献研究'],['文献研究'],本文首先对国家安全法的内涵进行界定，区分狭义与广义两种理解，认为狭义国家安全法主要针对防范和惩治境内外危害国家安全的行为，而广义国家安全法则涵盖政治、经济、文化…,【摘录】隐性方法逻辑体现为“概念扩展—框架构建—体系梳理—制度完善”：文章先通过扩展国家安全法概念，突破传统的军事政治安全限制；再构建体系框架，将不同法律渊源按宪法、刑事、行政、其他四部分归类；随后对我国现行法律体系进行逐层梳理，指出现有体…
353,试论我国意识形态安全,2004,Low,混合,"['历史与比较', '统计与计量']","['历史/比较历史', '政策解读/思政', '文献研究', '统计/回归/计量']",无可明确摘录,【推断】本文未设独立研究方法小节，但整体论证呈现隐性方法特征：首先界定意识形态安全在国家安全体系中的地位，梳理国内外学界对国家安全与文化安全、意识形态的不同理解；其次通过对比社会主义与资本主义意识形态的历史演变，论证意识形态安全的重要性；再…
619,高中地理教学中国家安全教育实施的困惑与对策,2022,High,定量,"['实验', '调查研究']","['实验/准实验', '政策解读/思政', '法学规范（解释型）', '调查研究/Survey']",【摘录】本文基于网络调研数据，总结高中地理教学中国家安全教育实施中的主要困惑。研究通过问卷与访谈收集到68个相关问题，并从知识逻辑、教学逻辑、学习逻辑与认知逻辑…,【摘录】在隐性方法层面，文章通过困惑分类与对策分析展现研究逻辑。首先利用问卷与访谈数据统计，对困惑进行知识逻辑与教学逻辑的频次分析，体现了定性与定量结合的特征；其次通过对政策文件与课程标准的对照，揭示教师在教材使用与目标设定中的偏差，形成政…
271,总体国家安全观视域下的中国北极安全利益分析,2019,Medium,定性,['过程溯源'],"['政策解读/思政', '文献研究', '过程溯源']",研究旨在在总体国家安全观视域下，识别中国北极安全利益。文章构建了北极国家安全利益的识别体系，包括北极国家安全总体利益（基于国际身份和安全责任）、北极国家安全长远…,文章采用历史分析法，梳理了北极事务相关的国际条约和机制，如 1996 年 5 月 15 日成立的北极理事会（Arctic Council），以及我国在 2013 年 5 月 15 日成为北极理事会的正式观察员。文章通过图表（图1）展示了总体…
